id1,id2
536-10-8682,188-42-4468
280-30-2349,750-47-9722
214-05-0872,412-54-2941
712-65-9980,515-04-9079
356-34-3345,599-84-5728
164-38-1022,801-50-4484
201-94-4265,189-87-2804
567-02-2597,334-44-2295
611-69-6123,678-15-3220
657-78-4152,579-14-0441
445-54-0758,150-95-0806
691-87-6929,677-66-1911
188-07-5552,620-43-5564
652-79-6991,464-75-2896
180-90-3238,595-05-8736
280-02-5003,873-74-0059
838-65-8142,384-04-3540
356-01-5811,515-31-0895
378-86-3482,694-79-8087
712-65-9980,765-10-1397
356-34-3345,892-50-4345
164-38-1022,177-96-6142
201-94-4265,558-62-5961
712-65-9980,772-43-0926
356-34-3345,540-74-1220
164-38-1022,295-98-8195
567-02-2597,201-94-4265
657-78-4152,677-62-6737
180-90-3238,407-90-2819
201-94-4265,536-10-8682
356-34-3345,593-38-7559
